% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Area (km²),Bomb Blasts Occurred,"Boundary wall, Building condition satisfactory, Drinking water and 2 more (clusters)",Boundary wall,Building condition satisfactory,MeasureGroup 1 Measures,Color By Measure Value,Show Sheet,Table of Contents,Other Factors Measure Value,Analysis Level Selector,Color By Measure Name,Complete Primary Schools,Country,City,Drinking water,Drone attacks in Pakistan,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Gender parity score,Global Terrorism Index - Pakistan,Learning score,MeasureGroup 2 Measures,No Facility,Number of Records,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,Province,Retention score,School infrastructure score,Terrorist Attacks Affectees,Toilet,Total number of schools,Year
70.85%,0.392739274,29.16%,0.165016502,0.442244224,20.40%,7.93%,31.44%,40.23%,5896,27,Cluster 1,76.225085911,35.209353741,79.155,79.155,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,119,Pakistan,Mastung,39.027491409,19,60.83,2.62%,32.326460481,64.02,79.155,9.37,44.85,60.83,0.00%,1,0.801587302,303,0.198412698,75,4.10%,179784,50,134,Balochistan,55.285,48.045,5496,57.432989691,378,2014
79.68%,0,20.32%,0.378787879,0.780303030,21.60%,3.14%,50.87%,24.39%,5728,27,Cluster 1,48.643426295,20.699960630,70.32,70.32,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,0,Pakistan,Musakhail,30.545816733,19,48.885,2.62%,19.191235060,32.71,70.32,9.37,49.115,48.885,0.00%,1,0.868421053,264,0.131578947,40,4.10%,134056,100,206,Balochistan,43.39,30.63,5496,34.069721116,304,2014
100.00%,0,0.00%,0.356194690,0.685840708,24.84%,20.22%,22.20%,32.75%,3387,27,Cluster 1,47.403614458,14.047846890,49.525,49.525,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,0,Pakistan,Nasirabad,69.753012048,19,58.61,2.62%,61.319277108,68.6,49.525,9.37,67.235,58.61,0.00%,1,0.889763780,452,0.110236220,56,4.10%,245894,161,310,Balochistan,49.09,44.735,5496,31.144578313,508,2014
64.33%,0.524096386,35.67%,0.078313253,0.397590361,80.47%,0.00%,17.21%,2.33%,5797,27,Cluster 1,21.584415584,48.760794702,85.67,85.67,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,87,Pakistan,Nushki,60.876623377,19,61.795,2.62%,47.811688312,47.3,85.67,9.37,49.49,61.795,0.00%,1,0.697478992,166,0.302521008,72,4.10%,137500,13,66,Balochistan,64.73,39.06,5496,16.266233766,238,2014
76.96%,0.595611285,23.05%,0.103448276,0.300940439,7.30%,9.19%,42.97%,40.54%,16891,27,Cluster 1,64.394366197,31.857375887,73.045,73.045,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,190,Pakistan,Panjgur,68.788732394,19,58.19,2.62%,28.021126761,97,73.045,9.37,50.965,58.19,0.00%,1,0.811704835,319,0.188295165,74,4.10%,234051,33,96,Balochistan,60.245,46.325,5496,38.542253521,393,2014
72.73%,0.145102781,27.27%,0.338573156,0.516324063,34.47%,12.42%,30.29%,22.81%,7819,27,Cluster 1,60.462647444,29.238534031,77.27,77.27,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,120,Pakistan,Pishin,63.612712975,19,63.155,2.62%,27.642857143,44.515,77.27,9.37,73.85,63.155,0.00%,1,0.838742394,827,0.161257606,159,4.10%,367183,280,427,Balochistan,57.005,44.005,5496,39.067496723,986,2014
58.33%,0.751282051,41.68%,0.094871795,0.153846154,42.91%,3.54%,37.99%,15.55%,2653,27,Cluster 2,85.532951289,42.984172932,91.675,91.675,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,293,Pakistan,Quetta,56.484240688,19,75.31,2.62%,47.177650430,69.59,91.675,9.37,66.565,75.31,0.00%,1,0.681818182,390,0.318181818,182,4.10%,744802,37,60,Balochistan,73.41,58.58,5496,60.703438395,572,2014
95.53%,0.012195122,4.48%,0.237804878,0.75,20.96%,7.78%,44.31%,26.95%,0,27,Cluster 1,51.564516129,35.194683544,54.475,54.475,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,2,Pakistan,Sherani,36.822580645,19,50.535,2.62%,25.161290323,44.82,54.475,9.37,52.66,50.535,0.00%,1,0.891304348,164,0.108695652,20,4.10%,0,39,123,Balochistan,50.195,40.5,5496,53.758064516,184,2014
62.79%,0.368932039,37.21%,0.276699029,0.354368932,58.26%,3.67%,18.35%,19.72%,7796,27,Cluster 1,60.189320388,26.234024390,87.21,87.21,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,76,Pakistan,Sibi,57.572815534,19,64.12,2.62%,51.135922330,59.505,87.21,9.37,43.205,64.12,0.00%,1,0.780303030,206,0.219696970,58,4.10%,180398,57,73,Balochistan,66.55,48.805,5496,48.893203883,264,2014
84.71%,0.174193548,15.30%,0.2,0.625806452,27.33%,0.58%,66.86%,5.23%,29510,27,Cluster 1,45.010638298,45.714285714,65.295,65.295,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,27,Pakistan,Washuk,54.840425532,19,38.835,2.62%,28.5,53.36,65.295,9.37,33,38.835,0.00%,1,0.824468085,155,0.175531915,33,4.10%,118171,31,97,Balochistan,46.875,41.395,5496,32.918439716,188,2014
86.78%,0.152027027,13.22%,0.165540541,0.682432432,15.24%,6.10%,36.89%,41.77%,20297,27,Cluster 1,41.956834532,34.714003559,63.22,63.22,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,45,Pakistan,Zhob,38,19,38.41,2.62%,22.874100719,48.35,63.22,9.37,39.88,38.41,0.00%,1,0.848137536,296,0.151862464,53,4.10%,275142,49,202,Balochistan,46.305,32.19,5496,23.417266187,349,2014
72.32%,0.178082192,27.69%,0.296803653,0.525114155,6.59%,30.23%,18.22%,44.96%,1489,27,Cluster 1,35.944700461,28.571428571,77.685,77.685,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,39,Pakistan,Ziarat,16.589861751,19,41.745,2.62%,1.382488479,69.44,77.685,9.37,57.8,41.745,0.00%,1,0.829545455,219,0.170454545,45,4.10%,33340,65,115,Balochistan,25.685,21.38,5496,24.423963134,264,2014
75.68%,0.908560311,24.33%,0.007782101,0.083657588,17.45%,23.83%,13.26%,20.97%,,27,Cluster 1,66.193430657,9.538406193,74.325,74.325,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",FATA,Gender parity score,467,Pakistan,Bajaur Agency,36.321167883,19,66.27,2.62%,35.375912409,70.345,74.325,9.37,77.935,66.27,24.50%,1,0.856666667,514,0.143333333,86,4.10%,,4,43,FATA,42.48,36.56,5496,35.372262774,600,2014
64.83%,0.917378917,35.17%,0,0.082621083,20.44%,23.40%,28.57%,16.01%,1227,27,Cluster 1,88,13.180049834,85.17,85.17,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",FATA,Gender parity score,322,Pakistan,FR Bannu,50.872881356,19,56.51,2.62%,67.033898305,57.54,85.17,9.37,47.065,56.51,11.58%,1,0.851941748,351,0.148058252,61,4.10%,675667,0,29,FATA,36.255,51.65,5496,39.161016949,412,2014
95.51%,0.886363636,4.50%,0.015151515,0.098484848,15.79%,26.97%,11.84%,18.42%,,27,Cluster 1,77.083333333,30.065245902,54.495,54.495,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",FATA,Gender parity score,117,Pakistan,FR DI Khan,39.083333333,19,37.12,2.62%,64.833333333,40.26,54.495,9.37,37.65,37.12,26.97%,1,0.851612903,132,0.148387097,23,4.10%,,2,13,FATA,16.06,50.98,5496,43.833333333,155,2014
100.00%,0.945578231,0.00%,0.020408163,0.034013605,15.68%,28.11%,18.38%,21.08%,,27,Cluster 1,67.678571429,12.293793103,38.15,38.15,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",FATA,Gender parity score,139,Pakistan,FR Kohat,31.75,19,30.71,2.62%,52.964285714,52,38.15,9.37,47.17,30.71,16.76%,1,0.794594595,147,0.205405405,38,4.10%,,3,5,FATA,35.105,40.385,5496,37.25,185,2014
70.88%,0.979166667,29.13%,0,0.020833333,15.89%,32.71%,10.28%,26.17%,,27,Cluster 1,78.365853659,5.357142857,79.125,79.125,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",FATA,Gender parity score,94,Pakistan,FR Lakki Marwat,32.024390244,19,60.42,2.62%,20.865853659,70.36,79.125,9.37,49.915,60.42,14.95%,1,0.834782609,96,0.165217391,19,4.10%,,0,2,FATA,42.275,35.25,5496,39.634146341,115,2014
86.84%,0.953333333,13.17%,0.013333333,0.033333333,40.00%,6.67%,24.44%,19.44%,,27,Cluster 1,82.34375,1.171875,63.165,63.165,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",FATA,Gender parity score,143,Pakistan,FR Peshawar,63.953125,19,54.355,2.62%,59.21875,80.575,63.165,9.37,22,54.355,9.44%,1,0.824175824,150,0.175824176,32,4.10%,,2,5,FATA,51.695,50.915,5496,47.875,182,2014
74.92%,0.830687831,25.09%,0.026455026,0.142857143,26.29%,20.19%,19.72%,22.54%,,27,Cluster 1,82.611111111,4.658385093,75.085,75.085,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",FATA,Gender parity score,157,Pakistan,FR Tank,54.5,19,69.1,2.62%,64.234567901,84.355,75.085,9.37,49.815,69.1,11.27%,1,0.828947368,189,0.171052632,39,4.10%,,5,27,FATA,67.15,52.4,5496,56,228,2014
95.95%,0.913043478,4.06%,0.006211180,0.080745342,41.73%,10.11%,22.43%,14.52%,,27,Cluster 1,52.462643678,40.776597718,54.055,54.055,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",FATA,Gender parity score,588,Pakistan,Khyber Agency,34.772988506,19,47.945,2.62%,42.284482759,47.68,54.055,9.37,52.485,47.945,11.21%,1,0.878581173,644,0.121418827,89,4.10%,,4,52,FATA,37.57,40.905,5496,34.215517241,733,2014
72.08%,0.906614786,27.93%,0.009727626,0.083657588,24.61%,15.94%,16.64%,16.64%,,27,Cluster 1,44.338709677,5.300515021,77.925,77.925,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",FATA,Gender parity score,466,Pakistan,Kurram Agency,41.295698925,19,45.975,2.62%,55.672043011,44,77.925,9.37,73.9,45.975,26.17%,1,0.829032258,514,0.170967742,106,4.10%,,5,43,FATA,47.035,36.865,5496,37.720430108,620,2014
67.12%,0.953535354,32.88%,0.002020202,0.044444444,15.26%,20.70%,15.44%,16.49%,,27,Cluster 1,51.668737060,2.338045267,82.88,82.88,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",FATA,Gender parity score,472,Pakistan,Mohmand Agency,28.885093168,19,51.745,2.62%,38.750517598,37.345,82.88,9.37,32.865,51.745,32.11%,1,0.831932773,495,0.168067227,100,4.10%,,1,22,FATA,53.895,30.505,5496,30.885093168,595,2014
66.07%,0.839416058,33.93%,0.077858881,0.082725061,47.12%,12.15%,21.96%,11.94%,,27,Cluster 2,78.943708609,61.288541393,83.93,83.93,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",FATA,Gender parity score,690,Pakistan,North Waziristan Agency,80.168874172,19,50.935,2.62%,76.622516556,35,83.93,9.37,82.13,50.935,6.82%,1,0.868004224,822,0.131995776,125,4.10%,,64,68,FATA,61.245,71.535,5496,60.652317881,947,2014
85.97%,0.937209302,14.03%,0.018604651,0.044186047,5.93%,18.61%,10.22%,19.43%,,27,Cluster 1,67.740384615,7.689096386,64.03,64.03,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",FATA,Gender parity score,403,Pakistan,Orakzai Agency,26.591346154,19,55.41,2.62%,32.557692308,59.38,64.03,9.37,49.995,55.41,45.81%,1,0.866935484,430,0.133064516,66,4.10%,,8,19,FATA,48.25,32.45,5496,27.673076923,496,2014
82.85%,0.917460317,17.15%,0.015873016,0.066666667,32.41%,12.45%,16.60%,18.97%,,27,Cluster 1,59.915879017,0.187969925,67.15,67.15,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",FATA,Gender parity score,578,Pakistan,South Waziristan Agency,32.857277883,19,46.19,2.62%,41.491493384,25,67.15,9.37,72.13,46.19,19.57%,1,0.847913863,630,0.152086137,113,4.10%,,10,42,FATA,69.035,34.86,5496,39.839319471,743,2014
80.43%,0.65625,19.57%,0.03125,0.3125,17.95%,17.95%,17.09%,19.66%,,27,Cluster 1,38.84375,50,69.57,69.57,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",GB,Gender parity score,42,Pakistan,Astor,34.59375,19,63.87,2.62%,30.25,79.36,69.57,9.37,41.83,63.87,27.35%,1,0.547008547,64,0.452991453,53,4.10%,,2,20,GB,64.715,42.59,5496,59.25,117,2014
92.98%,0,7.03%,0.378640777,0.679611650,9.21%,17.57%,37.24%,14.23%,,27,Cluster 1,55.661417323,30.174748201,57.025,57.025,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",GB,Gender parity score,0,Pakistan,Diamir,66.535433071,19,55.97,2.62%,61.023622047,39.335,57.025,9.37,87.335,55.97,21.76%,1,0.861924686,206,0.138075314,33,4.10%,,78,140,GB,40.18,53.875,5496,55.980314961,239,2014
63.05%,0.805970149,36.95%,0,0.194029851,15.83%,15.11%,26.62%,21.58%,6400,27,Cluster 1,59.242424242,18.967427184,86.95,86.95,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",GB,Gender parity score,54,Pakistan,Ghanchi,46.909090909,19,78.69,2.62%,65.484848485,83.825,86.95,9.37,69.18,78.69,20.86%,1,0.482014388,67,0.517985612,72,4.10%,88366,0,13,GB,74.805,44.845,5496,33.606060606,139,2014
66.86%,0.728813559,33.15%,0,0.271186441,49.12%,4.39%,30.70%,14.04%,9635,27,Cluster 2,61.047619048,48.506024096,83.145,83.145,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",GB,Gender parity score,43,Pakistan,Ghizer,87.476190476,19,59.095,2.62%,85.888888889,52.565,83.145,9.37,50.035,59.095,1.75%,1,0.517543860,59,0.482456140,55,4.10%,120218,0,16,GB,50.645,70.265,5496,68.396825397,114,2014
62.74%,0.818181818,37.27%,0.012987013,0.168831169,52.11%,8.45%,16.90%,21.13%,3800,27,Cluster 2,81.142857143,67.259166667,87.265,87.265,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",GB,Gender parity score,63,Pakistan,Gilgit,73.5,19,70.02,2.62%,82.785714286,61.24,87.265,9.37,53.08,70.02,1.41%,1,0.542253521,77,0.457746479,65,4.10%,243324,1,13,GB,78.475,75.58,5496,73.214285714,142,2014
54.16%,0.926829268,45.85%,0,0.073170732,57.58%,4.04%,23.23%,12.12%,15700,27,Cluster 2,76.456521739,42.733684211,95.845,95.845,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",GB,Gender parity score,38,Pakistan,Hunza Nagar,89.304347826,19,81.405,2.62%,51,63.305,95.845,9.37,70.095,81.405,3.03%,1,0.414141414,41,0.585858586,58,4.10%,0,0,3,GB,96.37,70.98,5496,95.413043478,99,2014
74.44%,0.713780919,25.57%,0.017667845,0.268551237,22.12%,11.76%,21.88%,17.65%,15000,27,Cluster 1,51.052238806,10.716112853,75.565,75.565,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",GB,Gender parity score,202,Pakistan,Skardu,40.082089552,19,71.755,2.62%,38.589552239,60.8,75.565,9.37,71.915,71.755,26.59%,1,0.665882353,283,0.334117647,142,4.10%,214848,5,76,GB,78.735,35.655,5496,37.835820896,425,2014
60.22%,0.994764398,39.78%,0.005235602,0,88.49%,0.26%,11.00%,0.26%,906,27,Cluster 2,99.476439791,85.356276596,89.78,89.78,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",ICT,Gender parity score,190,Pakistan,Islamabad,93.929319372,19,72.98,2.62%,99.476439791,62.01,89.78,9.37,65.8,72.98,0.00%,1,0.488491049,191,0.511508951,200,4.10%,1829180,1,0,ICT,74.33,95.595,5496,99.738219895,391,2014
81.65%,0.632827950,18.36%,0.177323665,0.189848385,23.05%,12.98%,26.79%,22.61%,1967,27,Cluster 2,64.726820162,70.591495620,68.355,68.355,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",KP,Gender parity score,960,Pakistan,Abbottabad,75.893901680,19,73.26,2.62%,52.961418793,72.715,68.355,9.37,71.28,73.26,14.58%,1,0.830777656,1517,0.169222344,309,4.10%,880666,269,288,KP,80.69,68.915,5496,80.385189795,1826,2014
75.69%,0.634894992,24.31%,0.085621971,0.279483037,59.96%,5.41%,17.25%,10.90%,,27,Cluster 2,98.593247588,99.570357143,74.31,74.31,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",KP,Gender parity score,786,Pakistan,Bannu,99.919614148,19,62.845,2.62%,99.879421222,55.225,74.31,9.37,59.345,62.845,6.48%,1,0.826987308,1238,0.173012692,259,4.10%,,106,346,KP,62.49,98.6,5496,95.016077170,1497,2014
79.57%,0.479395604,20.43%,0.309065934,0.211538462,9.91%,15.30%,21.91%,23.62%,1301,27,Cluster 1,44.345722300,49.243695346,70.43,70.43,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",KP,Gender parity score,349,Pakistan,Batagram,36.680925666,19,50.045,2.62%,15.978962132,47,70.43,9.37,55.675,50.045,29.25%,1,0.891064871,728,0.108935129,89,4.10%,307278,225,154,KP,27.07,41.375,5496,60.611500701,817,2014
85.68%,0.742301459,14.33%,0.084278768,0.173419773,51.15%,5.37%,25.32%,13.81%,1865,27,Cluster 2,89.826332795,90.581848185,64.325,64.325,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",KP,Gender parity score,458,Pakistan,Buner,69.052504039,19,60.375,2.62%,63.332794830,55.215,64.325,9.37,53.135,60.375,4.35%,1,0.789002558,617,0.210997442,165,4.10%,506048,52,107,KP,68.825,80.105,5496,87.726171244,782,2014
83.73%,0.873126873,16.27%,0.026973027,0.099900100,68.49%,1.55%,21.36%,7.94%,996,27,Cluster 2,98.233046800,73.943952096,66.27,66.27,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",KP,Gender parity score,874,Pakistan,Charsadda,91.979942693,19,62.645,2.62%,80.310888252,61.48,66.27,9.37,53.795,62.645,0.65%,1,0.817810458,1001,0.182189542,223,4.10%,1022364,27,100,KP,69.035,88.16,5496,96.322827125,1224,2014
86.90%,0.426829268,13.10%,0.254573171,0.318597561,28.08%,9.89%,30.65%,20.51%,14850,27,Cluster 2,69.531201248,88.748834116,63.1,63.1,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",KP,Gender parity score,280,Pakistan,Chitral,75.825273011,19,68.985,2.62%,51.944617785,67.57,63.1,9.37,64.415,68.985,10.87%,1,0.800976801,656,0.199023199,163,4.10%,318689,167,209,KP,80.845,73.65,5496,82.183307332,819,2014
77.42%,0.728375101,22.59%,0.091350040,0.180274859,43.89%,7.66%,24.13%,18.43%,7326,27,Cluster 2,82.3515625,84.368509213,72.585,72.585,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",KP,Gender parity score,901,Pakistan,Dera Ismail Khan,79.6015625,19,62.445,2.62%,68.984375,43.39,72.585,9.37,62.775,62.445,5.89%,1,0.783407220,1237,0.216592780,342,4.10%,852995,113,223,KP,71.05,80.335,5496,86.375,1579,2014
74.45%,0.655487805,25.56%,0.100609756,0.243902439,40.50%,5.50%,25.50%,23.75%,1597,27,Cluster 2,90.055555556,79.178974359,75.555,75.555,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",KP,Gender parity score,215,Pakistan,Hangu,76.604938272,19,66.85,2.62%,65.586419753,56.145,75.555,9.37,62.165,66.85,4.75%,1,0.82,328,0.18,72,4.10%,614529,33,80,KP,73.54,80.61,5496,91.629629630,400,2014
81.64%,0.675954592,18.36%,0.145510836,0.178534572,48.26%,6.64%,18.79%,14.74%,1725,27,Cluster 2,74.608949416,85.216419387,68.36,68.36,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",KP,Gender parity score,655,Pakistan,Haripur,67.480544747,19,61.4,2.62%,68.215953307,58.165,68.36,9.37,55.385,61.4,11.58%,1,0.784615385,969,0.215384615,266,4.10%,692228,141,173,KP,63.68,75.53,5496,82.138132296,1235,2014
73.20%,0.871299871,26.80%,0.051480051,0.077220077,30.25%,12.29%,28.78%,20.06%,3372,27,Cluster 2,87.435064935,92.366338583,76.8,76.8,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",KP,Gender parity score,677,Pakistan,Karak,55.642857143,19,66.38,2.62%,62.045454545,52.165,76.8,9.37,57.695,66.38,8.61%,1,0.814465409,777,0.185534591,177,4.10%,430796,40,60,KP,78.86,75.755,5496,81.285714286,954,2014
100.00%,0.897590361,0.00%,0.018072289,0.084337349,62.46%,1.31%,26.10%,10.13%,2545,27,Cluster 2,99.772382398,89.455448916,48.045,48.045,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",KP,Gender parity score,596,Pakistan,Kohat,90.220030349,19,49.795,2.62%,83.829286798,43.62,48.045,9.37,62.035,49.795,0.00%,1,0.788598575,664,0.211401425,178,4.10%,562644,12,56,KP,45.48,92.64,5496,99.924127466,842,2014
100.00%,0.508975713,0.00%,0.204857445,0.286166843,2.64%,30.07%,13.57%,15.83%,7492,27,Cluster 1,29.577397911,59.710967276,45.66,45.66,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",KP,Gender parity score,482,Pakistan,Kohistan,46.261158594,19,44.295,2.62%,9.754036087,30.44,45.66,9.37,52.96,44.295,37.89%,1,0.892554194,947,0.107445806,114,4.10%,472570,194,271,KP,48.11,35.43,5496,31.842830009,1061,2014
84.27%,0.667377399,15.73%,0.078891258,0.253731343,46.43%,6.77%,26.65%,14.35%,3164,27,Cluster 2,82.760405550,84.365135135,65.73,65.73,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",KP,Gender parity score,626,Pakistan,Lakki Marwat,71.848986126,19,56.235,2.62%,80.139807898,39.275,65.73,9.37,55.82,56.235,5.79%,1,0.836007130,938,0.163992870,184,4.10%,490025,74,238,KP,64.125,81.275,5496,87.274279616,1122,2014
73.66%,0.704527403,26.35%,0.107227959,0.188244639,41.58%,4.71%,31.96%,13.17%,1582,27,Cluster 2,78.451133698,85.104329897,76.345,76.345,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",KP,Gender parity score,887,Pakistan,Lower Dir,62.042220485,19,69.865,2.62%,73.134480063,63.19,76.345,9.37,60.5,69.865,8.59%,1,0.807051282,1259,0.192948718,301,4.10%,717649,135,237,KP,79.415,76.935,5496,85.944878812,1560,2014
77.49%,0.852575488,22.51%,0.053285968,0.094138544,67.80%,3.55%,18.01%,6.95%,952,27,Cluster 2,89.872791519,99.910071942,72.51,72.51,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",KP,Gender parity score,480,Pakistan,Malakand,82.219081272,19,71.385,2.62%,87.401060071,62.44,72.51,9.37,70.825,71.385,3.69%,1,0.798581560,563,0.201418440,142,4.10%,452291,30,53,KP,79.775,90.315,5496,92.167844523,705,2014
